window_end,effective_N,analyzed_N,effective_ratio
2024-07-18,4.1632019971817265,12,0.34693349976514387
2024-07-19,4.1687015297338865,12,0.34739179414449056
2024-07-22,4.176109501191991,12,0.34800912509933263
2024-07-23,4.16606963737911,12,0.3471724697815925
2024-07-24,4.17213967169036,12,0.34767830597419663
2024-07-25,4.170623256693055,12,0.3475519380577546
2024-07-26,4.1702600444474465,12,0.34752167037062054
2024-07-29,4.172000514042404,12,0.3476667095035337
2024-07-30,4.176983878247516,12,0.3480819898539597
2024-07-31,4.155704340266809,12,0.34630869502223405
2024-08-01,4.154353924842183,12,0.34619616040351525
2024-08-02,4.153853828335682,12,0.34615448569464013
2024-08-05,4.156241054477359,12,0.3463534212064466
2024-08-06,4.155104514993903,12,0.3462587095828253
2024-08-07,4.157540028450416,12,0.34646166903753467
2024-08-08,4.158090376789291,12,0.34650753139910756
2024-08-09,4.160768017036112,12,0.3467306680863427
2024-08-12,4.163145208041623,12,0.34692876733680195
2024-08-13,4.16353121739637,12,0.34696093478303086
2024-08-14,4.159111435376023,12,0.34659261961466853
2024-08-15,4.157926911563584,12,0.3464939092969654
2024-08-16,4.159707476779077,12,0.3466422897315897
2024-08-19,4.158922880899787,12,0.3465769067416489
2024-08-20,4.15508066749111,12,0.34625672229092586
2024-08-21,4.155398188652945,12,0.3462831823877454
2024-08-22,4.156621627626945,12,0.34638513563557877
2024-08-23,4.153757853637498,12,0.34614648780312485
2024-08-26,4.146804051376332,12,0.345567004281361
2024-08-27,4.144880869582686,12,0.3454067391318905
2024-08-28,4.140632874844675,12,0.34505273957038957
2024-08-29,4.137377572166132,12,0.34478146434717766
2024-08-30,4.13363523968873,12,0.3444696033073942
2024-09-03,4.134611619802335,12,0.3445509683168613
2024-09-04,4.135149415622232,12,0.344595784635186
2024-09-05,4.1345743368248735,12,0.3445478614020728
2024-09-09,4.133085067180387,12,0.3444237555983656
2024-09-10,4.130515379248402,12,0.34420961493736685
2024-09-11,4.131785632838466,12,0.3443154694032055
2024-09-12,4.132532601262636,12,0.3443777167718864
2024-09-13,4.139054978346151,12,0.3449212481955126
2024-09-19,4.133511723463248,12,0.344459310288604
2024-09-20,4.135396955921836,12,0.34461641299348633
2024-09-23,4.13502269370301,12,0.3445852244752508
2024-09-24,4.08945281670215,12,0.34078773472517915
2024-09-25,4.088968197379298,12,0.3407473497816082
2024-09-26,4.043119538645182,12,0.3369266282204318
2024-09-27,4.005172712925321,12,0.3337643927437768
2024-09-30,3.9026314753974063,12,0.3252192896164505
2024-10-08,4.039117535187679,12,0.3365931279323066
2024-10-09,3.983168265404809,12,0.33193068878373405
2024-10-10,3.9912066205249954,12,0.3326005517104163
2024-10-14,3.9912165688862014,12,0.33260138074051676
2024-10-15,3.9769397261890638,12,0.33141164384908867
2024-10-16,3.9824351488096807,12,0.33186959573414004
2024-10-17,3.9817605001772165,12,0.33181337501476804
2024-10-18,3.9634030633362647,12,0.33028358861135537
2024-10-21,3.9633192672334103,12,0.3302766056027842
2024-10-22,3.9615739970668384,12,0.33013116642223655
2024-10-23,3.96133168181396,12,0.33011097348449664
2024-10-24,3.9588328849752035,12,0.32990274041460027
2024-10-25,3.9612673842194694,12,0.3301056153516225
2024-10-28,3.9574399920562477,12,0.3297866660046873
2024-10-29,3.957071687656694,12,0.32975597397139117
2024-10-30,3.955913760608032,12,0.3296594800506693
2024-10-31,3.960640065925983,12,0.33005333882716525
2024-11-01,3.9639524798828156,12,0.330329373323568
2024-11-04,3.9598021356961297,12,0.3299835113080108
2024-11-05,3.951248725118386,12,0.3292707270931988
2024-11-06,3.9502885493176696,12,0.32919071244313913
2024-11-07,3.9397866917459403,12,0.328315557645495
2024-11-08,3.9397344711390785,12,0.3283112059282565
2024-11-11,3.942966557343733,12,0.3285805464453111
2024-11-12,3.943005069629435,12,0.3285837558024529
2024-11-13,3.9417992806570683,12,0.328483273388089
2024-11-14,3.93239739308327,12,0.3276997827569392
2024-11-15,3.9315284494960276,12,0.32762737079133564
2024-11-18,3.934680830962133,12,0.32789006924684444
2024-11-19,3.930941606512501,12,0.32757846720937506
2024-11-20,3.9334984926260415,12,0.3277915410521701
2024-11-21,3.9475441208508126,12,0.32896201007090103
2024-11-22,3.9462151150962073,12,0.3288512595913506
2024-11-25,3.939954981557128,12,0.32832958179642735
2024-11-26,3.944038606060704,12,0.328669883838392
2024-11-27,3.9357127785558252,12,0.3279760648796521
2024-11-29,3.930138921795759,12,0.32751157681631327
2024-12-02,3.9213193903704084,12,0.3267766158642007
2024-12-03,3.91853699418615,12,0.3265447495155125
